Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
1/01/2018,5.28,,,7.00,,,
2/01/2018,5.30,,,7.91,,,
3/01/2018,1,,,7.69,,0.09,
4/01/2018,3.94,,,7.68,,,
5/01/2018,3.50,,,7.47,,,
6/01/2018,2.40,,,7.45,,,
7/01/2018,4.54,,,7.46,,,
8/01/2018,5.58,,,7.47,,0.07,
9/01/2018,7.34,,,6.67,,,
10/01/2018,5.58,,,7.13,,0.10,
11/01/2018,1,,,6.34,,,
12/01/2018,10.70,,,5.80,,,
13/01/2018,5.90,,,8.32,,,
14/01/2018,4.61,,,7.13,,,
15/01/2018,1,,,7.31,,0.03,
16/01/2018,1,,,7.31,,,
17/01/2018,1,,,7.34,,0.16,
18/01/2018,5.91,,,7.28,,,
19/01/2018,14.26,,,7.46,,,
20/01/2018,1,,,7.78,,,
21/01/2018,1,,,7.74,,,
22/01/2018,7.65,,,7.44,,0.06,
23/01/2018,7.39,,,7.26,,,
24/01/2018,4.97,,,7.39,,0.04,
25/01/2018,7.91,,,7.38,,,
26/01/2018,6.44,,,7.34,,,
27/01/2018,8.29,,,7.17,,,
28/01/2018,1.05,,,7.26,,,
29/01/2018,5.73,,,7.27,,0.10,
30/01/2018,1,,,7.26,,,
31/01/2018,7.74,,,7.22,,0.03,
1/02/2018,8.83,,,7.21,,,
2/02/2018,1,,,7.07,,,
3/02/2018,4.20,,,7.12,,,
4/02/2018,6.14,,,6.97,,,
5/02/2018,1,,,7.40,,0.60,
6/02/2018,1,,,7.67,,,
7/02/2018,1,,,7.64,,0.17,
8/02/2018,1,,,7.42,,,
9/02/2018,1,,,7.31,,,
10/02/2018,1,,,7.36,,,
11/02/2018,1,,,7.23,,,
12/02/2018,1,,,7.40,,0.09,
13/02/2018,1,,,7.31,,,
14/02/2018,3.09,,,7.19,,0.15,
15/02/2018,1,,,7.35,,,
16/02/2018,9.22,,,8.04,,,
17/02/2018,7.53,,,6.73,,,
18/02/2018,7.77,,,7.58,,,
19/02/2018,6.74,,,7.27,,0.21,
20/02/2018,1,,,7.50,,,
21/02/2018,7.43,,,7.02,,0.32,
22/02/2018,6.04,,,4.77,,,
23/02/2018,9.61,,,6.70,,,
24/02/2018,8.57,,,7.58,,,
25/02/2018,8.92,,,7.63,,,
26/02/2018,1,,,8.22,,0.08,
27/02/2018,1,,,8.02,,,
28/02/2018,1,,,8.13,,0.06,
1/03/2018,1,,,7.89,,,
2/03/2018,1,,,8.06,,,
3/03/2018,40.59,,,4.43,,,
3/03/2018,42.74,,,6.76,,,
3/03/2018,44.87,,,6.92,,0.18,
4/03/2018,30.04,,,7.70,,,
4/03/2018,43.03,,,7.33,,,
4/03/2018,33.43,,,7.57,,0.06,
5/03/2018,37.54,,,7.55,,0.08,
5/03/2018,35.94,,,7.47,,,
6/03/2018,35.97,,,7.28,,,
7/03/2018,9.32,,,8.38,,0.02,
8/03/2018,9.03,,,7.89,,,
9/03/2018,11.39,,,7.87,,,
10/03/2018,11.29,,,7.27,,,
10/03/2018,4.96,,,4.11,,,
10/03/2018,1,,,,,,
11/03/2018,36.37,,,7.45,,,
11/03/2018,26.71,,,7.64,,,
12/03/2018,23.90,,,8.34,,0.04,
12/03/2018,26.42,,,7.25,,,
13/03/2018,21.23,,,7.59,,,
14/03/2018,10.86,,,8.06,,0.06,
15/03/2018,1,,,7.85,,,
16/03/2018,12.81,,,7.51,,,
