Date,02D001_Cl,02D001_H2S,02D001_Hydrogen Sulfide,02D001_pH,02D001_Sulfide,02D001_Total_Iron
1/1/2018,5.28,0,0,7,0,0
2/1/2018,5.3,0,0,7.91,0,0
3/1/2018,1,0,0,7.69,0,0.09
4/1/2018,3.94,0,0,7.68,0,0
5/1/2018,3.5,0,0,7.47,0,0
6/1/2018,2.4,0,0,7.45,0,0
7/1/2018,4.54,0,0,7.46,0,0
8/1/2018,5.58,0,0,7.47,0,0.07
9/1/2018,7.34,0,0,6.67,0,0
10/1/2018,5.58,0,0,7.13,0,0.1
11/1/2018,1,0,0,6.34,0,0
12/1/2018,10.7,0,0,5.8,0,0
13/01/2018,5.9,0,0,8.32,0,0
14/01/2018,4.61,0,0,7.13,0,0
15/01/2018,1,0,0,7.31,0,0.03
16/01/2018,1,0,0,7.31,0,0
17/01/2018,1,0,0,7.34,0,0.16
18/01/2018,5.91,0,0,7.28,0,0
19/01/2018,14.26,0,0,7.46,0,0
20/01/2018,1,0,0,7.78,0,0
21/01/2018,1,0,0,7.74,0,0
22/01/2018,7.65,0,0,7.44,0,0.06
23/01/2018,7.39,0,0,7.26,0,0
24/01/2018,4.97,0,0,7.39,0,0.04
25/01/2018,7.91,0,0,7.38,0,0
26/01/2018,6.44,0,0,7.34,0,0
27/01/2018,8.29,0,0,7.17,0,0
28/01/2018,1.05,0,0,7.26,0,0
29/01/2018,5.73,0,0,7.27,0,0.1
30/01/2018,1,0,0,7.26,0,0
31/01/2018,7.74,0,0,7.22,0,0.03
1/2/2018,8.83,0,0,7.21,0,0
2/2/2018,1,0,0,7.07,0,0
3/2/2018,4.2,0,0,7.12,0,0
4/2/2018,6.14,0,0,6.97,0,0
5/2/2018,1,0,0,7.4,0,0.6
6/2/2018,1,0,0,7.67,0,0
7/2/2018,1,0,0,7.64,0,0.17
8/2/2018,1,0,0,7.42,0,0
9/2/2018,1,0,0,7.31,0,0
10/2/2018,1,0,0,7.36,0,0
11/2/2018,1,0,0,7.23,0,0
12/2/2018,1,0,0,7.4,0,0.09
13/02/2018,1,0,0,7.31,0,0
14/02/2018,3.09,0,0,7.19,0,0.15
15/02/2018,1,0,0,7.35,0,0
16/02/2018,9.22,0,0,8.04,0,0
17/02/2018,7.53,0,0,6.73,0,0
18/02/2018,7.77,0,0,7.58,0,0
19/02/2018,6.74,0,0,7.27,0,0.21
20/02/2018,1,0,0,7.5,0,0
21/02/2018,7.43,0,0,7.02,0,0.32
22/02/2018,6.04,0,0,4.77,0,0
23/02/2018,9.61,0,0,6.7,0,0
24/02/2018,8.57,0,0,7.58,0,0
25/02/2018,8.92,0,0,7.63,0,0
26/02/2018,1,0,0,8.22,0,0.08
27/02/2018,1,0,0,8.02,0,0
28/02/2018,1,0,0,8.13,0,0.06
1/3/2018,1,0,0,7.89,0,0
2/3/2018,1,0,0,8.06,0,0
3/3/2018,40.59,0,0,4.43,0,0
3/3/2018,42.74,0,0,6.76,0,0
3/3/2018,44.87,0,0,6.92,0,0.18
4/3/2018,30.04,0,0,7.7,0,0
4/3/2018,43.03,0,0,7.33,0,0
4/3/2018,33.43,0,0,7.57,0,0.06
5/3/2018,37.54,0,0,7.55,0,0.08
5/3/2018,35.94,0,0,7.47,0,0
6/3/2018,35.97,0,0,7.28,0,0
7/3/2018,9.32,0,0,8.38,0,0.02
8/3/2018,9.03,0,0,7.89,0,0
9/3/2018,11.39,0,0,7.87,0,0
10/3/2018,11.29,0,0,7.27,0,0
10/3/2018,4.96,0,0,4.11,0,0
10/3/2018,1,0,0,0,0,0
11/3/2018,36.37,0,0,7.45,0,0
11/3/2018,26.71,0,0,7.64,0,0
12/3/2018,23.9,0,0,8.34,0,0.04
12/3/2018,26.42,0,0,7.25,0,0
13/03/2018,21.23,0,0,7.59,0,0
14/03/2018,10.86,0,0,8.06,0,0.06
15/03/2018,1,0,0,7.85,0,0
16/03/2018,12.81,0,0,7.51,0,0
17/03/2018,15.02,0,0,7.16,0,0
17/03/2018,13.87,0,0,7.56,0,0
18/03/2018,1,0,0,7.56,0,0
19/03/2018,9.3,0,0,7.66,0,0.14
20/03/2018,8.56,0,0,8.5,0,0
21/03/2018,8.78,0,0,7.81,0,0.3
22/03/2018,9.26,0,0,7.43,0,0
23/03/2018,13.63,0,0,7.07,0,0
24/03/2018,8.7,0,0,7.07,0,0
25/03/2018,9.26,0,0,6.89,0,0
26/03/2018,1,0,0,6.41,0,1.42
27/03/2018,40.07,0,0,4.17,0,0
27/03/2018,31.02,0,0,5.2,0,0
28/03/2018,31.13,0,0,6.65,0,0.58
28/03/2018,540,0,0,0,0,0
29/03/2018,19.52,0,0,8.03,0,0
30/03/2018,18.16,0,0,8.15,0,0
31/03/2018,21.2,0,0,7.56,0,0
1/4/2018,14.08,0,0,7.82,0,0
2/4/2018,7.89,0,0,7.75,0,0.11
3/4/2018,7.59,0,0,7.89,0,0
4/4/2018,6.16,0,0,8,0,0.46
5/4/2018,6.55,0,0,7.73,0,0
5/4/2018,8.9,0,0,7.75,0,0.26
6/4/2018,7.68,0,0,7.62,0,0
7/4/2018,30.42,0,0,6.59,0,0
7/4/2018,9.82,0,0,0,0,0
8/4/2018,13.02,0,0,6.96,0,0
9/4/2018,16.67,0,0,6.99,0,0.62
10/4/2018,15.37,0,0,6.83,0,0
11/4/2018,1,0,0,6.58,0,0.89
12/4/2018,16.62,0,0,6.43,0,0
13/04/2018,18.34,0,0,6.85,0,0
13/04/2018,13.43,0,0,7.07,0,0
14/04/2018,1,0,0,7.04,0,0
15/04/2018,13.85,0,0,7.24,0,0
16/04/2018,8.39,0,0,8.35,0,0.2
17/04/2018,8.44,0,0,7.59,0,0
18/04/2018,7.3,0,0,7.94,0,0.54
19/04/2018,8.12,0,0,7.68,0,0
20/04/2018,8.07,0,0,6.9,0,0
21/04/2018,6.19,0,0,6.89,0,0
22/04/2018,6.66,0,0,7.05,0,0
23/04/2018,1,0,0,7.05,0,0.46
24/04/2018,7.95,0,0,7.14,0,0
24/04/2018,8.65,0,0,0,0,0
25/04/2018,6.93,0,0,6.01,0,1.64
26/04/2018,5.78,0,0,7.21,0,0
27/04/2018,1,0,0,8.13,0,0
