Date,02D002_Cl (ppm wt.),02D002_H2S (ppm wt.),02D002_pH @25oC,02D002_Sulfide (ppm wt.),,,,,,,,,
4/1/18,1.83,,7.03,,,,,,,,,,
9/1/18,1,,6.76,,,,,,,,,,
11/1/18,1,,6.31,,,,,,,,,,
16/1/18,1,,6.95,,,,,,,,,,
18/1/18,1,,6.93,,,,,,,,,,
23/1/18,1,,6.86,,,,,,,,,,
25/1/18,1,,6.75,,,,,,,,,,
30/1/18,2.09,,6.92,,,,,,,,,,
1/2/18,1,,6.87,,,,,,,,,,
6/2/18,1,,7.03,,,,,,,,,,
8/2/18,1,,6.91,,,,,,,,,,
13/2/18,1,,6.93,,,,,,,,,,
15/2/18,1,,6.95,,,,,,,,,,
20/2/18,1,,7.21,,,,,,,,,,
22/2/18,1,,5.55,,,,,,,,,,
27/2/18,1,,7.44,,,,,,,,,,
6/3/18,9.17,,6.87,,,,,,,,,,
8/3/18,1,,7.33,,,,,,,,,,
13/3/18,2.17,,7.08,,,,,,,,,,
15/3/18,1,,7.22,,,,,,,,,,
20/3/18,1,,8.18,,,,,,,,,,
22/3/18,1,,7.26,,,,,,,,,,
27/3/18,1.56,,3.94,,,,,,,,,,
29/3/18,1,,7.05,,,,,,,,,,
3/4/18,1,,6.95,,,,,,,,,,
5/4/18,3.67,,7.40,,,,,,,,,,
10/4/18,1,,6.45,,,,,,,,,,
12/4/18,6.37,,6.02,,,,,,,,,,
17/4/18,1,,7.04,,,,,,,,,,
19/4/18,1,,7.07,,,,,,,,,,
24/4/18,1,,6.95,,,,,,,,,,
26/4/18,1,,6.82,,,,,,,,,,
3/5/18,1,,6.89,,,,,,,,,,
8/5/18,1,,7.32,,,,,,,,,,
10/5/18,1,,7.57,,,,,,,,,,
15/5/18,1,,7.35,,,,,,,,,,
17/5/18,1.57,,6.72,,,,,,,,,,
22/5/18,4.95,,7.00,,,,,,,,,,
24/5/18,1,,7.06,,,,,,,,,,
31/5/18,1,,6.48,,,,,,,,,,
5/6/18,1,,7.03,,,,,,,,,,
