Date,02D002_Cl,02D002_H2S,02D002_pH_at25oC,02D002_Sulfide
4/1/2018,1.83,0,7.03,0
9/1/2018,1,0,6.76,0
11/1/2018,1,0,6.31,0
16/1/18,1,0,6.95,0
18/1/18,1,0,6.93,0
23/1/18,1,0,6.86,0
25/1/18,1,0,6.75,0
30/1/18,2.09,0,6.92,0
1/2/2018,1,0,6.87,0
6/2/2018,1,0,7.03,0
8/2/2018,1,0,6.91,0
13/2/18,1,0,6.93,0
15/2/18,1,0,6.95,0
20/2/18,1,0,7.21,0
22/2/18,1,0,5.55,0
27/2/18,1,0,7.44,0
6/3/2018,9.17,0,6.87,0
8/3/2018,1,0,7.33,0
13/3/18,2.17,0,7.08,0
15/3/18,1,0,7.22,0
20/3/18,1,0,8.18,0
22/3/18,1,0,7.26,0
27/3/18,1.56,0,3.94,0
29/3/18,1,0,7.05,0
3/4/2018,1,0,6.95,0
5/4/2018,3.67,0,7.4,0
10/4/2018,1,0,6.45,0
12/4/2018,6.37,0,6.02,0
17/4/18,1,0,7.04,0
19/4/18,1,0,7.07,0
24/4/18,1,0,6.95,0
26/4/18,1,0,6.82,0
3/5/2018,1,0,6.89,0
8/5/2018,1,0,7.32,0
10/5/2018,1,0,7.57,0
15/5/18,1,0,7.35,0
17/5/18,1.57,0,6.72,0
22/5/18,4.95,0,7,0
24/5/18,1,0,7.06,0
31/5/18,1,0,6.48,0
5/6/2018,1,0,7.03,0
7/6/2018,4.48,0,7.33,0
12/6/2018,2.2,0,6.43,0
14/6/18,1,0,6.58,0
19/6/18,1,0,6.8,0
21/6/18,2.88,0,6.91,0
26/6/18,1,0,6.5,0
28/6/18,1,0,6.52,0
3/7/2018,1,0,7.34,0
5/7/2018,1,0,6.67,0
10/7/2018,1,0,6.69,0
12/7/2018,1.15,0,6.76,0
17/7/18,1,0,7.08,0
19/7/18,1,0,8.7,0
24/7/18,6.43,0,7.01,0
26/7/18,1,0,6.48,0
31/7/18,1.41,0,6.42,0
2/8/2018,1,0,6.64,0
7/8/2018,1,0,6.36,0
9/8/2018,1,0,6.63,0
14/8/18,1,0,7.96,0
16/8/18,1,0,7.72,0
21/8/18,1,0,7.2,0
23/8/18,1,0,7.41,0
28/8/18,1,0,7.71,0
30/8/18,1,0,7.6,0
4/9/2018,1,0,6.9,0
6/9/2018,1,0,8.02,0
11/9/2018,1.77,0,7.38,0
13/9/18,1,0,7.72,0
18/9/18,1.09,0,7.22,0
20/9/18,1.17,0,7.4,0
25/9/18,1,0,7.67,0
27/9/18,1,0,7.01,0
2/10/2018,1,0,6.54,0
4/10/2018,1,0,6.8,0
9/10/2018,1,0,7.76,0
11/10/2018,1.14,0,7.65,0
16/10/18,1,0,7.63,0
18/10/18,1,0,7.13,0
25/10/18,1,0,5.52,0
30/10/18,1,0,7.03,0
1/11/2018,1.67,0,8.15,0
6/11/2018,1,0,7.04,0
8/11/2018,1,0,7.17,0
13/11/18,1,0,7.22,0
15/11/18,1,0,6.96,0
20/11/18,1,0,6.92,0
22/11/18,1,0,6.17,0
27/11/18,1.63,0,6.24,0
29/11/18,1,0,6.62,0
4/12/2018,5.17,0,7.06,0
6/12/2018,1,0,6.64,0
11/12/2018,1,0,7.03,0
13/12/18,1,0,7.05,0
18/12/18,1,0,7.08,0
20/12/18,1,0,5.24,0
25/12/18,1,0,7.11,0
27/12/18,1.32,0,5,0
1/1/2019,1.52,0,6.75,0
3/1/2019,1.46,0,6.81,0
8/1/2019,1,0,7.26,0
10/1/2019,1,0,7.36,0
15/1/19,1,0,6.58,0
17/1/19,1,0,6.49,0
22/1/19,1,0,7.32,0
24/1/19,2.88,0,6.74,0
24/1/19,2.88,0,7.04,0
29/1/19,8.86,0,3.93,0
31/1/19,1,0,7.31,0
5/2/2019,1,0,7.25,0
7/2/2019,1,0,7.33,0
12/2/2019,1.36,0,5.12,0
14/2/19,1,0,7.48,0
21/2/19,1.25,0,7.3,0
26/2/19,1,0,7.36,0
28/2/19,2.83,0,7.33,0
5/3/2019,2.09,0,6.73,0
7/3/2019,1.16,0,7.05,0
12/3/2019,1,0,7.34,0
14/3/19,1,0,6.92,0
19/3/19,1,0,7.51,0
21/3/19,1,0,8.37,0
26/3/19,1.29,0,5.71,0
28/3/19,1,0,7.17,0
2/4/2019,1,0,7.88,0
4/4/2019,1,0,7.65,0
9/4/2019,1.61,0,7.26,0
11/4/2019,1,0,7.39,0
18/4/19,1.66,0,7.55,0
23/4/19,1,0,7.58,0
25/4/19,1,0,6.76,0
30/4/19,1.8,0,7.3,0
2/5/2019,1,0,5.45,0
7/5/2019,2.76,0,5.64,0
9/5/2019,13.77,0,5.92,0
9/5/2019,0,0,0,0
14/5/19,1.49,0,6,0
16/5/19,2.06,0,7.45,0
21/5/19,1.71,0,6.02,0
23/5/19,1.73,0,5.8,0
28/5/19,1.24,0,6.3,0
30/5/19,1,0,7.03,0
4/6/2019,1,0,6.24,0
