Date,02D002_Cl,02D002_pH
3/7/2018,<1,7.34
5/7/2018,<1,6.67
10/7/2018,<1,6.69
12/7/2018,1.15,6.76
17/7/2018,<1,7.08
19/7/2018,<1,8.7
24/7/2018,6.43,7.01
26/7/2018,<1,6.48
31/7/2018,1.41,6.42
2/8/2018,<1,6.64
7/8/2018,<1,6.36
9/8/2018,<1,6.63
14/8/2018,<1,7.96
16/8/2018,<1,7.72
21/8/2018,<1,7.2
23/8/2018,<1,7.41
28/8/2018,<1,7.71
30/8/2018,<1,7.6
4/9/2018,<1,6.9
6/9/2018,<1,8.02
11/9/2018,1.77,7.38
13/9/2018,<1,7.72
18/9/2018,1.09,7.22
20/9/2018,1.17,7.4
25/9/2018,<1,7.67
27/9/2018,<1,7.01
2/10/2018,<1,6.54
4/10/2018,<1,6.8
9/10/2018,<1,7.76
11/10/2018,1.14,7.65
16/10/2018,<1,7.63
18/10/2018,<1,7.13
25/10/2018,<1,5.52
30/10/2018,<1,7.03
1/11/2018,1.67,8.15
6/11/2018,<1,7.04
8/11/2018,<1,7.17
13/11/2018,<1,7.22
15/11/2018,<1,6.96
20/11/2018,<1,6.92
22/11/2018,<1,6.17
27/11/2018,1.63,6.24
29/11/2018,<1,6.62
4/12/2018,5.17,7.06
6/12/2018,<1,6.64
11/12/2018,<1,7.03
13/12/2018,<1,7.05
18/12/2018,<1,7.08
20/12/2018,<1,5.24
25/12/2018,<1,7.11
27/12/2018,1.32,5
1/1/2019,1.52,6.75
3/1/2019,1.46,6.81
8/1/2019,<1,7.26
10/1/2019,<1,7.36
15/1/2019,<1,6.58
17/1/2019,<1,6.49
22/1/2019,<1,7.32
24/1/2019,2.88,6.74
24/1/2019,2.88,7.04
29/1/2019,8.86,3.93
31/1/2019,<1,7.31
5/2/2019,<1,7.25
7/2/2019,<1,7.33
12/2/2019,1.36,5.12
14/2/2019,<1,7.48
21/2/2019,1.25,7.3
26/2/2019,<1,7.36
28/2/2019,2.83,7.33
5/3/2019,2.09,6.73
7/3/2019,1.16,7.05
12/3/2019,<1,7.34
14/3/2019,<1,6.92
19/3/2019,<1,7.51
21/3/2019,<1,8.37
26/3/2019,1.29,5.71
28/3/2019,<1,7.17
2/4/2019,<1,7.88
4/4/2019,<1,7.65
9/4/2019,1.61,7.26
11/4/2019,<1,7.39
18/4/2019,1.66,7.55
23/4/2019,<1,7.58
25/4/2019,<1,6.76
30/4/2019,1.8,7.3
2/5/2019,<1,5.45
7/5/2019,2.76,5.64
9/5/2019,13.77,5.92
9/5/2019,,
14/5/2019,1.49,6
16/5/2019,2.06,7.45
21/5/2019,1.71,6.02
23/5/2019,1.73,5.8
28/5/2019,1.24,6.3
30/5/2019,<1,7.03
4/6/2019,<1,6.24
6/6/2019,<1,7.15
11/6/2019,<1,4.85
13/6/2019,<1,5.23
18/6/2019,1.92,6.55
20/6/2019,<1,7.45
25/6/2019,<1,6.57
27/6/2019,<1,7.48
2/7/2019,<1,5.73
4/7/2019,<1,6.49
9/7/2019,1.46,5.02
11/7/2019,2.72,5.74
16/7/2019,<1,6.99
18/7/2019,<1,5.06
23/7/2019,<1,6.55
25/7/2019,3.08,7.44
30/7/2019,<1,7.14
1/8/2019,<1,6.85
6/8/2019,<1,7.09
27/8/2019,<1,5.72
29/8/2019,<1,7.49
3/9/2019,<1,6.49
5/9/2019,<1,5.55
10/9/2019,<1,6.61
12/9/2019,<1,6.59
17/9/2019,<1,6.64
19/9/2019,<1,5.8
24/9/2019,1.11,6.98
26/9/2019,<1,6.13
1/10/2019,<1,7.06
3/10/2019,<1,6.77
8/10/2019,<1,6.64
10/10/2019,<1,6.4
15/10/2019,<1,6.53
17/10/2019,<1,7.38
22/10/2019,<1,7.26
24/10/2019,<1,7.47
29/10/2019,<1,7.41
31/10/2019,<1,7.01
5/11/2019,<1,6.15
7/11/2019,<1,7.11
14/11/2019,<1,6.96
19/11/2019,<1,7.27
21/11/2019,<1,5.28
26/11/2019,<1,7.18
28/11/2019,<1,7.2
3/12/2019,6.91,7.15
10/12/2019,<1,7.05
12/12/2019,<1,6.55
17/12/2019,<1,6.01
19/12/2019,7.74,6.24
24/12/2019,<1,5.98
26/12/2019,<1,5.94
2/1/2020,<1,6.24
7/1/2020,<1,6.52
9/1/2020,<1,5.85
14/1/2020,<1,6.84
16/1/2020,<1,7.16
21/1/2020,<1,6.29
23/1/2020,<1,6.7
28/1/2020,<1,6.5
30/1/2020,<1,5.12
4/2/2020,<1,5.11
6/2/2020,<1,6.85
11/2/2020,<1,6.39
13/2/2020,<1,6.58
18/2/2020,<1,6.79
20/2/2020,1.41,5.17
25/2/2020,<1,6.28
27/2/2020,<1,6.49
3/3/2020,<1,6.55
5/3/2020,8.53,6.89
10/3/2020,<1,5.87
12/3/2020,<1,7.31
17/3/2020,1.14,7.66
19/3/2020,<1,4.55
24/3/2020,1.49,6.58
26/3/2020,1.43,4.21
31/3/2020,<1,7.08
2/4/2020,<1,6.63
7/4/2020,2.59,6.99
9/4/2020,<1,7.22
14/4/2020,<1,7.03
16/4/2020,<1,6.54
21/4/2020,<1,6.48
23/4/2020,<1,6.95
28/4/2020,<1,6.22
30/4/2020,<1,5.65
5/5/2020,<1,8.21
7/5/2020,<1,6.92
12/5/2020,<1,6.34
14/5/2020,<1,6.36
19/5/2020,<1,4.39
21/5/2020,<1,5.43
26/5/2020,<1,5.64
28/5/2020,<1,6.03
2/6/2020,<1,6.41
4/6/2020,<1,7.3
9/6/2020,<1,7.82
11/6/2020,<1,5.95
16/6/2020,<1,6.81
18/6/2020,<1,6.19
23/6/2020,7.83,6.68
25/6/2020,<1,6.6
30/6/2020,<1,6.66
2/7/2020,<1,6.93
7/7/2020,<1,6.16
9/7/2020,<1,6.31
14/7/2020,2.94,5.22
16/7/2020,<1,6.23
21/7/2020,<1,7.13
23/7/2020,<1,8.79
30/7/2020,<1,6.93
