Date,GRG,JAS,PHT,BUA,AKP,PAN,AMN,BKN,AJK,SHR,CPE,MIR,ABC,CBS,ABM,HTA,COS,BEN,GER,SER,ARL,QAR,BUL,UZK,SLOP1,ESP,MUR,QTM,BSL,AXL,DAS,Feed (KBD),Feed (m3/day),GPL,EGG,WAF,VRN,KID,UNG,ZTN,MUC,GSK,GEC,ITH,UEP,DIH,ARL1,UML,KUP,WTM,KJS,AMB,EGC,CAK,MLP,BAN,KBB,OMX,KEK,ARM,CEN,PRL,BRS,BAH,PLW,QUI,DUL,BTM,LAB,RAN,SUT,SAO,MIL,BIN,BAI,RUB
1/7/2018,3.33E-05,31.05413402,16.97424985,2.120229802,33.72617788,0.764636168,0.107769312,1.26E-27,0.245419817,12.70011248,0.018056337,1.016264927,0.024082737,0.529652956,2.30E-07,0.141687949,0.545994432,5.29E-09,0.031497509,2.88E-07,2.42E-12,6.86E-17,5.94E-18,1.37E-13,2.32E-12,3.69E-18,9.87E-21,1.12E-18,1.08E-11,6.88E-16,7.43E-16,58.27688624,9265.284796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2018,1.41E-05,13.13451553,7.187681055,0.898615304,14.29046217,0.32409878,0.045681786,6.70E-28,0.104023675,5.383356333,0.007654031,0.430735358,0.010208479,0.224509959,9.76E-08,0.06005863,0.23143383,2.24E-09,0.013352146,1.22E-07,51.10181514,7.69E-17,0.001520729,0.006858008,0.001144218,1.52E-16,0.00208066,0.502603633,9.65E-09,6.037576191,1.14E-08,59.97003327,9534.47367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/7/2018,2.40E-07,0.173893844,0.109404485,0.015065056,0.233301367,0.005473781,0.000776091,2.40E-28,0.001756882,0.091407266,0.000130413,0.00724268,0.000173722,0.0038109,1.66E-09,0.001019052,0.003923353,3.82E-11,0.000228251,2.08E-09,88.06193758,8.28E-17,0.002620618,0.01181816,0.00197179,2.59E-16,0.003585526,0.866118937,1.66E-08,10.40433997,1.97E-08,66.18978213,10523.33475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/2018,2.40E-07,0.173893844,0.109404485,0.015065056,0.233301367,0.005473781,0.000776091,2.40E-28,0.001756882,0.091407266,0.000130413,0.00724268,0.000173722,0.0038109,1.66E-09,0.001019052,0.003923353,3.82E-11,0.000228251,2.08E-09,88.06193758,8.28E-17,0.002620618,0.01181816,0.00197179,2.59E-16,0.003585526,0.866118937,1.66E-08,10.40433997,1.97E-08,66.64124418,10595.11148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2018,0.29169252,28.42394846,5.313103557,1.665584348,7.39686871,0.033268176,0.009875316,1.47E-06,0.036541217,1.730635959,0.001492607,0.307541047,0.00168814,29.87418468,1.71E-08,0.016308301,0.137687218,24.6851547,0.00157285,0.000155008,2.12E-13,6.00E-18,5.20E-19,1.20E-14,0.072695703,3.23E-19,8.64E-22,9.83E-20,8.67E-13,6.02E-17,6.50E-17,57.06663334,9072.869956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2018,0.287125349,28.6221203,5.332062111,1.65530697,7.376183038,0.032747279,0.009767101,1.45E-06,0.035969075,1.717710294,0.001475462,0.306116673,0.001665538,30.09717616,1.69E-08,0.016156361,0.13651038,24.29864711,0.001549288,0.000152581,2.09E-13,5.91E-18,5.12E-19,1.18E-14,0.071557471,3.18E-19,8.50E-22,9.68E-20,8.54E-13,5.93E-17,6.40E-17,59.26130215,9421.794424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2018,0.291729985,28.42232282,5.312948036,1.665668656,7.397038398,0.033272449,0.009876204,1.47E-06,0.036545911,1.73074199,0.001492747,0.307552731,0.001688325,29.87235544,1.71E-08,0.016309547,0.137696872,24.68832529,0.001573043,0.000155028,2.12E-13,6.00E-18,5.20E-19,1.20E-14,0.07270504,3.23E-19,8.64E-22,9.83E-20,8.68E-13,6.02E-17,6.50E-17,58.32412649,9272.795395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2018,0.28697269,28.62874423,5.332695804,1.654963447,7.375491616,0.032729868,0.009763484,1.44E-06,0.035949951,1.717278251,0.001474889,0.306069063,0.001664782,30.10462968,1.69E-08,0.016151282,0.136471044,24.28572802,0.001548501,0.0001525,2.08E-13,5.91E-18,5.11E-19,1.18E-14,0.071519425,3.17E-19,8.50E-22,9.68E-20,8.54E-13,5.93E-17,6.40E-17,59.35859906,9437.263396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/7/2018,0.285546009,28.69064865,5.338618028,1.651753025,7.369029878,0.032567152,0.00972968,1.44E-06,0.035771227,1.713240565,0.001469533,0.305624121,0.001657722,30.17428719,1.68E-08,0.01610382,0.136103427,24.16499177,0.001541141,0.000151742,2.07E-13,5.88E-18,5.09E-19,1.17E-14,0.071163867,3.16E-19,8.46E-22,9.63E-20,8.50E-13,5.90E-17,6.37E-17,59.22479777,9415.990691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/2018,0.284983638,28.7150502,5.340952457,1.650487538,7.366482783,0.032503013,0.009716355,1.43E-06,0.035700777,1.711648986,0.001467422,0.305448733,0.001654939,30.20174487,1.68E-08,0.016085111,0.135958519,24.11739982,0.001538239,0.000151443,2.07E-13,5.87E-18,5.08E-19,1.17E-14,0.071023713,3.15E-19,8.44E-22,9.61E-20,8.48E-13,5.89E-17,6.36E-17,59.71845693,9494.476228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
